package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Ladakh Undiscovered Luxury Tour Package,"leh ,  nubra valley ,  alchi ,  pangong lake",7,8,36100.0
Mystical Kashmir and Leh Ladakh Tour Package,"srinagar houseboat ,  kargil ,  leh ,  nubra valley ,  pangong lake ,  manali",9,10,80000.0
Magical Ladakh With Nubra Honeymoon Tour Package,"leh ,   nubra valley ,   pangong  ,   leh",5,6,24499.0
Ladakh Tour Packages From Bangalore,"bangalore ,   leh ,   nubra valley ,   pangong ,   leh",6,7,40000.0
Leh Ladakh Tour Packages Itinerary,"leh ,   pangong",5,6,22650.0
Delights of Leh & Nubra Holiday Package,"leh  ,   pangong lake  ,   nubra valley  ,   leh",6,7,29499.0
Ladakh Budget Tour Packages,leh,5,6,29799.0
Highlights of Ladakh Group Tour Package,"leh ,  nubra valley ,   leh",5,6,23900.0
Grand Ladakh Luxury Holiday Package,"leh ,   uleytokpo ,   leh",5,6,38500.0
"Dazzle in Nubra, Leh & Pangong","leh  ,   nubra  ,   leh  ,   pangong  ,   leh",6,7,29000.0
Amazing Road Trip Package to Kashmir and Ladakh,"srinagar ,  sonamarg ,  leh ,  nubra valley ,  pangong lake",7,8,50999.0
Kashmir Tour Package 10 Nights 11 Days with Ladakh,"srinagar ,   kargil ,   leh ,   nubra valley ,   hunder ,   pangong ,   leh",10,11,88700.0
Extensive Spiti Valley and Ladakh Tour,"chandigarh ,   shimla ,   sarahan ,   sangla ,   tabo ,   kaza ,   chandertaal ,   jispa ,    leh ,   pangong lake ,   nubra valley ,   leh ,   sarchu ,   manali",13,14,52500.0
Leh Ladakh & Himachal Pradesh: Bike Trip Package,"manali ,  pangong lake ,  nubra valley ,  sonamarg ,  ladakh",10,11,60500.0
Ultimate Ladakh Road Trip Package,"leh ,   nubra valley ,   pangong lake ,   leh",5,6,26999.0
Ladakh Bike Tour,"manali ,   sarchu ,   leh ,   nubra valley ,   pangong lake ,   leh ,   tso moriri ,   sarchu ,   manali",10,11,54000.0
Leh Ladakh Tour Packages with Bike - Stay at Camp,"leh ,  pangong lake ,  nubra valley ,   tsomoriri lake",6,7,32500.0
Ultimate Bike Roadtripping from Manali to Ladakh and Srinagar,"manali ,  jispa ,  leh ,  nubra valley ,  pangong lake ,  kargil ,  srinagar",11,12,82000.0
Exciting Bike Trip from Delhi to Ladakh,"delhi ,   manali ,   jispa ,   leh ,   pangong lake ,   nubra valley ,   kargil ,   srinagar",12,13,90670.0
Leh Ladakh Bike Trip Package from Delhi,"delhi ,  pathankot ,  srinagar ,  kargil ,  leh ,  pangong lake ,  nubra valley ,  manali ,  chandigarh ,  delhi",14,15,120500.0
Sightseeing Jammu Tour Package,jammu,3,4,15000.0
Kashmir Tour Package with Vaishno Devi,"jammu ,   katra ,   patnitop",4,5,17600.0
Religious Tour of Vaishno Devi from Jammu,"jammu ,   katra ,   vaishno devi",2,3,9000.0
Vaishno Devi with Kashmir Tour Package,"jammu  ,   katra ,  pahalgam ,  gulmarg ,  srinagar",6,7,23899.0
"Full of Wonders - Jammu, Katra and Patnitop","jammu ,  katra ,  patnitop ,  katra",6,7,26000.0
"Majestic Jammu, Vaishno, Pahalgam & More","jammu ,   vaishno ,   pahalgam ,   gulmarg ,   srinagar",6,7,32000.0
Splendid Jammu Tour Package with Patnitop,"jammu ,  patnitop",4,5,18000.0
Vaishno Devi Jammu Tour Package - 7 Nights 8 Days,"jammu  ,   katra ,  pahalgam ,  gulmarg ,  srinagar",7,8,29900.0
Breathtaking Jammu Tour Package With Vaishno Devi Darshan,"jammu ,   katra ,  pahalgam ,  gulmarg ,  srinagar",7,8,29500.0
Divine Katra and Dharamshala Tour,"jammu ,   katra ,   dharamshala ,   dalhousie",5,6,23999.0
Jammu Kashmir Vaishno Devi Dham & Houseboat Stay,"jammu ,   katra ,  pahalgam ,  srinagar ,  gulmarg",8,9,39200.0
Vaishno Devi Special Tour Package From Jammu,"jammu  ,   vaishno devi",2,3,10500.0
"Panoramic Jammu, Srinagar, Pahalgam & More","pahalgam ,   srinagar ,   gulmarg ,   jammu",5,6,28000.0
Vaishno Devi Darshan By Helicopter Tour,katra,2,3,16500.0
Vaishno Devi Helicopter Tour Package,"jammu  ,   katra ,   vaishno devi",1,2,15200.0
Beautiful Vaishno Devi with Jammu,"vaishno devi  ,   jammu",3,4,10499.0
Jammu and Kashmir Honeymoon Special,"jammu ,  patnitop ,  srinagar ,  gulmarg ,  pahalgam ,  patnitop",6,7,18000.0
Enchanting Jammu and Patnitop Tour,"jammu ,  patnitop",4,5,12000.0
Magical Jammu and Katra Package,"jammu ,  katra",2,3,8000.0
Simply Jammu Tour,jammu,2,3,7500.0
Surreal Kashmir Honeymoon Trip for Couples,"jammu ,   srinagar",7,8,24000.0
"Wonders of Katra, Jammu and Patnitop","jammu ,  katra ,  patnitop ,  katra",6,7,26000.0
Katra Srinagar Tour Package - 7 Nights 8 Days,"srinagar ,   pahalgam ,   katra",7,8,30999.0
Amarnath Yatra Tour Package With Vaishno Devi from Delhi,"delhi ,   katra ,   srinagar ,   baltal ,   srinagar",7,8,37090.0
Wonderous Kashmir Super Deluxe Honeymoon Package,"srinagar ,   katra ,   pahalgam ,   srinagar",7,8,28200.0
Best of Kashmir Honeymoon Package with Vaishno Devi Trip,"srinagar ,   katra ,   pahalgam ,   srinagar",6,7,26150.0
Dharamshala Dalhousie Honeymoon Tour with Vaishno Devi,"jammu ,   katra ,   dharamshala ,   dalhousie",5,6,24499.0
Summer Delight Patnitop Sightseeing Tour Package,"jammu ,   patnitop",2,3,7999.0
Patnitop on a Budget,patnitop,3,4,7250.0
Vaishno Devi Tour Package from Katra,katra,2,3,10000.0
"Wonders of Patnitop, Katra from Jammu","jammu ,  katra ,  patnitop ,  katra",6,7,26000.0
Splendid Jammu and Patnitop Deal,"jammu ,  patnitop",4,5,18000.0
Exciting Patnitop and Katra,"katra ,  patnitop",4,5,18000.0
Super Saver Patnitop,patnitop,2,3,7000.0
4 Night 5 Days Gulmarg Honeymoon Package,"jammu ,   patnitop ,   srinagar ,   gulmarg ,   pahalgam",4,5,16169.0
"Blissful Gulmarg Honeymoon Package with Patnitop, Srinagar & More","jammu ,   patnitop ,   srinagar ,   gulmarg ,   pahalgam",4,5,16169.0
"Glimpse of Kashmir, Ladakh and Kargil Holiday Package","srinagar houseboat ,  kargil ,   leh ,   pangong lake ,   leh ,  nubra valley ,   leh",9,10,78040.0
Essence of Kargil Tour Package with Kashmir and  Ladakh,"srinagar ,   kargil ,   leh ,   nubra valley ,   hunder ,   pangong ,   leh",10,11,88700.0
Gulmarg Honeymoon Package for Couples with Leh Ladakh,"srinagar  ,   gulmarg ,   kargil  ,   ladakh",7,8,39500.0
Enthralling Srinagar with Ladakh Honeymoon Package,"srinagar  ,   gulmarg ,   kargil  ,   ladakh",7,8,37500.0
Best of Kashmir and Ladakh Luxury Honeymoon Package,"srinagar  ,   gulmarg ,   kargil  ,   ladakh",7,8,37500.0
Best of Kashmir Leh Ladakh Honeymoon Package,"srinagar  ,   kargil  ,   ladakh",7,8,37500.0
"Dazzling Srinagar, Kargil & More","srinagar ,  kargil ,  ladakh ,  nubra valley ,  ladakh ,  manali",9,10,40500.0
"Incredible Ladakh, Manali, Nubra & More","manali ,  srinagar ,  kargil ,  ladakh ,  nubra valley ,  ladakh",9,10,42000.0
Ultimate Arunachal Pradesh Package,"bomdila ,   tawang ,   bhalukpong",4,5,22000.0
River Cruise and Jungle Safari: Magical Assam Meghalaya,"guwahati  ,   shillong ,  cherrapunji ,   shillong ,   kaziranga national park ,  guwahati",6,7,26999.0
Gems of Assam Meghalaya Holiday Package with Elephant Safari,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",6,7,29000.0
"Breathtaking Northeast: Assam, Meghalaya and Arunachal","guwahati ,   shillong ,   kaziranga national park ,   tezpur ,   bomdila ,   tawang ,   dirang ,   bhalukpong ,   guwahati",12,13,62900.0
"Northeast Highlights - Guwahati, Shillong, Kaziranga & More","shillong ,  bhalukpong ,  dirang ,  tawang ,  bomdila ,  kaziranga ,  guwahati",11,12,58000.0
Assam Family Tour Packages,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",6,7,29000.0
Arunachal Pradesh Tour Itinerary 6 Days with Guwahati,"guwahati ,   bhalukpong ,   bomdila ,   dirang ,   tawang",5,6,23000.0
Assam Tour Packages Including Bhalukpong,"guwahati ,   bhalukpong ,  dirang ,  bomdila ,   tawang ,  tezpur",7,8,32500.0
Assam Tour Packages for 8 Nights 9 Days,"guwahati ,   cherrapunji ,   mawlynnong ,   dawki ,   jowai ,   shillong ,   mawsynram ,   guwahati",8,9,42120.0
9 Days Arunachal Pradesh and Assam Group Tour Itinerary Package,"bhalukpong ,  dirang ,  tawang ,  bomdila ,  tezpur ,  shillong ,  cherrapunjee",8,9,25999.0
"Royal Patna, Giridih & 2 places","patna ,  giridih ,  rajgir ,  patna",7,8,20000.0
"Bilaspur, Korba, Ambikapur & More in 8 Days","bilaspur ,   korba ,   mainpat ,   ambikapur ,   chirmiri ,   achanakmar",8,9,32000.0
Heritage Bhuj and Dholavira Tour with Rann Utsav,"bhuj ,   hodka",4,5,24633.0
Statue of Unity Deluxe Package,vadodara,2,3,6500.0
"Vibrant Gujarat - Dwarka, Somnath, Gir and Diu","dwarka  ,   somnath  ,   gir  ,   diu",5,6,32856.0
"Best of Gujarat - Dwarka, Somnath, Diu and More","dwarka  ,   somnath  ,   diu  ,   junagadh",5,6,10520.0
Wildlife in  Gujarat - Gir National Park Package,gir national park,2,3,7530.0
Memorable Gir and Bhuj,"gir  ,   bhuj",4,5,14586.0
"Triple Dhamaka Gujarat - Dwarka, Somnath and Gir","dwarka  ,   somnath  ,   gir",5,6,32581.0
"Gems of Gujarat - Dwarka, Somnath, Diu and More","dwarka  ,   somnath  ,   diu  ,   sasangir  ,   bhavnagar  ,   vadodara  ,   ahmedabad",10,11,46979.0
"Royal Gujarat Package - Somnath, Sasangir & Dwarka","sasangir ,  somnath ,  dwarka",3,4,13900.0
"Religious Gujarat - Somnath, Ahmedabad, Dwarka and More","ahmedabad  ,   dwarka  ,   porbandar  ,   somnath",6,7,24348.0
"Upbeat Gujarat - Jamnagar, Dwarka, Somnath,  Rajkot","jamnagar  ,   dwarka  ,   somnath  ,   rajkot",4,5,22050.0
"Adventurous Gujarat - Ahmedabad, Gir National Park and Diu","ahmedabad  ,   gir national park  ,   diu",4,5,19872.0
"Exciting Gujarat - Ahmedabad, Gandhidham, Bhuj and More","ahmedabad  ,   gandhidham  ,   bhuj  ,   kutch",5,6,16997.0
"Spritiual Gujarat - Dwarka, Porbandar, Somnath and More","ahmedabad  ,   dwarka  ,   porbandar  ,   somnath  ,   champaner pavagadh",5,6,8673.0
"Sacred Ahmedabad, Dwarka, Somnath and More","ahmedabad  ,   dwarka  ,   somnath  ,   ahmedabad",4,5,16486.0
"Best of Ahmedabad, Dwarka and Somnath","ahmedabad  ,   dwarka  ,   somnath",4,5,6700.0
"Incredible Gir,  Bhuj and Kutch","gir  ,   bhuj  ,   kutch",5,6,26940.0
"Big 5 Package - Ahmedabad, Rajkot, Dwarka and More","ahmedabad  ,   rajkot  ,   dwarka  ,   porbandar  ,   diu",7,8,29508.0
"Holy Pilgrimage Package -  Ahmedabad, Rajkot, Dwarka and More","ahmedabad  ,   rajkot  ,   dwarka  ,   porbandar  ,   somnath  ,   ahmedabad",6,7,10800.0
"Remarkable Somnath, Ahmedabad, Jamnagar & More","ahmedabad ,  jamnagar ,  dwarka ,  somnath ,  sasan gir",5,6,13849.0
"Big 4 Package - Dwarka, Somnath, Diu and Ahmedabad","dwarka  ,   somnath  ,   diu  ,   ahmedabad",6,7,27965.0
"Tranquil Ahmedabad, Rajkot & More","ahmedabad ,  rajkot ,  dwarka ,  porbandar ,  diu",7,8,22080.0
"Awesome Somnath, Ahmedabad, Jamnagar & More","ahmedabad ,  jamnagar ,  dwarka ,  somnath ,  sasan gir ,  diu",6,7,23000.0
Enthralling Sasan Gir & Bhuj,"sasan gir ,  bhuj",4,5,16300.0
5 Nights 6 Days Himachal Tour Package,"delhi ,   manali ,   tirthan valley",5,6,24800.0
Himachal Pradesh Tour Package for Couple - Professional Photoshoot Included,"delhi ,   shimla ,   manali",5,6,27500.0
"Mystic Manali, Kheerganga & Kasol Trek Tour","manali  ,   kasol",6,7,31500.0
"Best Himachal Tour Package with Shimla, Kullu & Manali","delhi ,   shimla ,   kullu ,   manali",5,6,13099.0
Bir Billing Adventure - Paragliding,bir,2,3,11590.0
"Himachal Pradesh Tour Package with Manali,Dharamshala & Dalhousie - Excursion to Solang Valley","manali ,   dharamshala  ,   dalhousie  ,   amritsar",7,8,36750.0
Mesmerizing Himachal Tour Package - Kasauli Shimla Manali,"chandigarh  ,   kasauli ,   shimla ,   manali",7,8,36500.0
Unforgettable Manali Honeymoon,"manali ,   kullu",4,5,20199.0
Bir Billing Trekking & Camping Tour Package,"delhi ,   bir billing",3,4,15999.0
Exotic Himachal Pradesh Tour Package with Kinnaur and Shimla,"chandigarh ,   shimla ,   sangla ,   kalpa",5,6,25700.0
Dharamshala Weekend Getaway Tour Package from Delhi,"delhi ,   dharamshala ,   mcleodganj",2,3,11500.0
Paragliding Himachal Tour Package -  Dharamshala and Bir Billing,"dharamshala ,   bir biling",3,4,14250.0
Himachal Tour Package for Couple: Shimla and Manali,"chandigarh ,   shimla ,   kullu ,   manali",4,5,20500.0
New Years Himachal Tour Package,"pathankot ,   dalhousie ,   manali ,   kasol ,   kufri ,   mashobra ,   shimla",7,8,33500.0
Shimla  Honeymoon at Oberoi Sukhvilas Spa Resort,"chandigarh ,   shimla",4,5,102000.0
Manali Tour Package From Delhi for 3 Days,"delhi ,   manali",2,3,12099.0
Wonders of Spiti Valley,"chandigarh ,   manali ,   jispa ,   kaza ,   manali",7,8,34500.0
Manali Tour Package for Family,manali,3,4,15300.0
Spiti Tour Package from Delhi,"delhi ,   manali ,   kaza ,   sissu ,   udaipur ,   keylong ,   manali",9,10,51999.0
2 Nights Chandratal Lake Camping Tour Package,"manali ,   chandratal lake",2,3,9999.0
Spiti Valley Tour from Manali,"manali ,   chandertal ,   kaza ,   tabo ,   kaza",4,5,23000.0
Only Manali Tour Package - Trip to Rohtang Pass,manali,2,3,11000.0
Splendid Dalhousie Tour,"delhi ,   dalhousie ,   khajjiar",2,3,10800.0
Leh Ladakh Motorbike Trip Package for 10 Nights,"manali ,  leh ,  nubra valley ,  pangong lake",10,11,56850.0
Dharamshala Dalhousie Honeymoon Package,"delhi ,   dharamshala ,   khajjiar ,   dalhousie ,   chamba",3,4,14500.0
Himachal Amritsar 10 Days Package,"chandigarh ,   shimla ,   manali ,   dharamshala ,   dalhousie ,   amritsar",9,10,48000.0
Best Kullu Manali Tour Package - Trek to Jogini Falls,"manali ,  kullu",4,5,15999.0
"Splendid Himachal Tour - Manali, Shimla, Dalhousie & More","shimla ,  manali ,  dalhousie ,  dharamsala ,  amritsar",8,9,18500.0
Manali Tour Package in December,"chandigarh ,   manali ,   shimla ,   kufri",5,6,24500.0
Honeymoon in Paradise - Shimla Manali Tour Package,"manali ,   shimla",5,6,10500.0
Shimla Manali 5 Nights 6 Days Tour By Cab,"delhi ,  shimla ,  manali",5,6,12999.0
Kullu Manali Volvo Tour Package for 3 Nights,manali,3,4,6999.0
Kullu-Manali Wonderscape Package,manali,3,4,11000.0
"Quintessential Karnataka Package: Bangalore, Mysore, Coorg","bangalore ,   mysore ,   coorg",4,5,16649.0
"5 Nights 6 Days Serene Chikamagalur, Coorg Package","bangalore ,   mysore ,   chikmagalur ,   coorg",5,6,13799.0
Experience Karnataka Family Package,"bangalore ,   mysore ,   chikmagalur ,   kudremukh ,   mangalore",8,9,35999.0
"Enchanting South Honeymoon Package: Coorg, Ooty, Wayanad & More","bangalore ,   mysore ,   coorg ,   wayanad ,   ooty",7,8,34000.0
Divine Karnataka Pilgrimage Package,"bangalore ,   kukke subrahmanya ,   mangalore ,   udupi ,   gokarna ,   sirsi ,   kollur ,   horanadu",7,8,38750.0
Hills & Beaches Package: Karnataka & Goa,"bangalore ,   mysore ,   chikmagalur ,   hampi ,   goa",8,9,22999.0
Bangalore  Mysore Ooty Tour Package,"bangalore ,   mysore ,   ooty",4,5,5000.0
Nature Escape to Coorg & Mysore from Bangalore,"bangalore ,   coorg ,   mysore",4,5,12200.0
"Vintage Karnataka - Bangalore, Mysore, Hampi and More","bangalore  ,   mysore  ,   hampi  ,   belur  ,   halebid",7,8,9166.0
Simply Bandipur,bandipur,2,3,7168.0
"Pocket-Friendly Mysore, Ooty, Munnar and More","mysore  ,   ooty  ,   munnar  ,   thekkady",7,8,9960.0
"Misty Mysore, Coorg and Ooty","mysore  ,   coorg  ,   ooty",6,7,68050.0
Simply Mysore,mysore,3,4,10605.0
"Delightful Mysore, Bandipur and Ooty","mysore  ,   bandipur  ,   ooty",5,6,21476.0
Simply Hampi,hampi,3,4,9888.0
"Unconventional Karnataka - Mangalore, Udupi, Murudeshwar and More","mangalore  ,   udupi  ,   murudeshwar  ,   gokarna",5,6,6560.0
"Historical Karnataka Package - Bangalore, Mysore, Hampi and More","bangalore  ,   mysore  ,   hampi  ,   badami  ,   aihole",7,8,22992.0
Quaint Mysore with Ranganthittu Bird Sanctuary,mysore,4,5,14140.0
"Splendid Bangalore, Mysore, Coorg and More","bangalore  ,   mysore  ,   coorg  ,   hampi",8,9,106180.0
"Phenomenal Karnataka Tour: Bangalore, Mysore, Chikmagalur and More","bangalore  ,   mysore  ,   chikmagalur  ,   hampi",7,8,24299.0
"Wildlife Karnataka Package - Mysore, Ranganathittu, Bandipur and More","bangalore - mysore  ,   ranganathittu  ,   nagarhole  ,   bandipur  ,   ooty",7,8,23985.0
"Mesmerizing Coorg, Kabini and Bangalore","bangalore  ,   coorg   ,  kabini  ,   bangalore",6,7,84120.0
"Budget Friendly Ooty, Bangalore and Mysore","bangalore  ,   mysore  ,   ooty  ,   bangalore",7,8,8470.0
"Thriving Karnataka Package - Bangalore, Mysore, Nagarhole and More","bangalore  ,   mysore  ,   nagarhole  ,   coonoor  ,   bangalore",6,7,20670.0
"Vibrant Bangalore, Mysore, Wayanad and More","bangalore  ,   mysore  ,   wayanad  ,   kabini  ,   bangalore",7,8,10980.0
"Extraordinary Karnataka - Bangalore, Mysore, Nagarhole and More","bangalore  ,   mysore  ,   nagerhole  ,   chickmangalur  ,   dandeli",7,8,24901.0
"Offbeat Karnataka Tour - Mangalore, Udupi, Karwar and Gokarna","mangalore  ,   udupi  ,   karwar  ,   gokarna",4,5,17348.0
"Explore Karnataka Package - Bangalore, Srirangapatna, Mysore and More","bangalore  ,   srirangapatna  ,   mysore  ,   shravanabelagola  ,   aihole  ,   badami",7,8,10264.0
"Engaging Karnataka Package - Bangalore, Mysore, Chickmangalur","bangalore  ,   mysore  ,   chikmagalur  ,   bangalore",6,7,21296.0
Exotic Karnataka and Kerala Package,"bangalore  ,   mysore  ,   coorg  ,   wayanad  ,   cochin  ,   kumarakom  ,   periyar  ,   munnar",11,12,130511.0
"Temples Special - Bangalore, Mysore, Dharmasthala and More","bangalore  ,   mysore  ,   dharmasthala  ,   gokarna",6,7,22459.0
Double Dhamaka: Karnataka and Tamil Nadu Package,"bangalore  ,   mysore  ,  kabini  ,   ooty  ,   tiruvannamalai  ,   mahabalipuram  ,  chennai",9,10,35523.0
"Indulge in Bangalore, Mysore, Kabini and More","bangalore  ,  mysore  ,   kabini  ,   ooty  ,   cochin  ,   kumarakom  ,   bangalore",9,10,114570.0
"Religious Bangalore, Kukke Subrahmanya, Dharmasthala and More","bangalore  ,   kukke subrahmanya  ,   dharmasthala  ,   mangalore  ,   udupi  ,  murudeshwar  ,   gokarna  ,   kollur  ,   bangalore",9,10,13985.0
"Holy Bangalore, Sravanabelagola, Halebid and More","bangalore  ,   sravanabelagola  ,   halebid  ,   belur  ,    sringeri  ,   shimoga  ,   bangalore",7,8,30570.0
"Triple Fun - Mysore, Coorg and Ooty Package","mysore  ,   coorg  ,   ooty",6,7,21556.0
Kerala Trip with Periyar Wildlife Sanctuary,"kochi ,  munnar ,  thekkady ,   alleppey",5,6,21999.0
Majestic Family Kerala Package in 4 Nights,"kochi ,   munnar ,   thekkady ,   alleppey",4,5,15000.0
Incredible Kerala 4 Nights 5 Days Honeymoon Package,"kochi ,  munnar ,  thekkady ,  alleppey",4,5,15000.0
"Pleasant Budget Kochi, Munnar, Alleppey Tour Package","kochi  ,   munnar  ,   alleppey  ,   kochi",6,7,28500.0
"Incredible Kumarakom, Mararikulam & Kochi","kumarakom ,   mararikulam ,   kochi",5,6,23200.0
"Magical Rameshwaram, Madurai, Kanyakumari and Kovalam","madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   alleppey",6,7,23294.0
3 Nights of Romantic Mararikulam & Kochi,"kochi ,   mararikulam ,   kochi",3,4,15000.0
"Best of Both Worlds Package - Munnar, Kumarakom, Mararikulam","munnar ,    kumarakom ,    mararikulam",4,5,15782.0
Kochi Sightseeing Tour Package - Bamboo rafting at Periyar,"kochi ,   munnar ,   thekkady ,   kochi",3,4,14340.0
New Year Kerala Beach Package,"kochi ,   varkala ,   kovalam",5,6,21300.0
Kerala 4 Days Tour Package: Munnar from Kochi,"kochi ,   munnar",3,4,13500.0
Exquisite Kerala Nature Escapade - 4 Nights,"kochi ,   athirappilly ,   munnar ,   alleppey",4,5,21000.0
Misty Munnar & Alleppey Backwaters Tour Package,"kochi ,   munnar ,   alleppey",3,4,14700.0
Get Stunned by Beautiful Kerala,"kochi ,   munnar ,   kumarakom ,   poovar",6,7,26700.0
All Inclusive Luxury Kerala Tour Package,"kochi21n) ,  munnar ,  thekkady ,   alleppey ,   mararikulam",7,8,103000.0
7 Days Kerala Holiday Tour Package,"munnar ,   thekkady ,   alappuzha (alleppey) ,   kovalam",6,7,24900.0
Kerala Honeymoon Package for 5 Days,"munnar ,   thekkady ,   alappuzha (alleppey)",4,5,15000.0
4 Nights 5 Days Kerala Tour Package,"munnar ,   thekkady ,   alappuzha (alleppey)",4,5,31600.0
Exotic Kerala Package 4 Nights 5 Days,"kochi ,  munnar ,  thekkady ,  alleppey",4,5,14999.0
Amazing Kerala Packages for 6 Days,"kochi (cochin) ,   munnar ,   thekkady ,   alappuzha (alleppey)",5,6,9999.0
Kerala Honeymoon Package 4N 5D,"kochi ,  munnar ,  thekkady ,  alleppey",4,5,15500.0
Konkan Dream Tour Package for 6 Nights 7 Days,"pune ,   diveagar ,   murud harnai ,   ganpatipule ,   tarkarli",6,7,25450.0
Tadoba Tiger Safari Tour Package,"nagpur ,   tadoba national park",3,4,29000.0
3 Nights 4 Days Konkan Tour Package,"pune ,   tarkarli",3,4,14250.0
Magical Meghalaya Tour Package,"shillong ,   cherrapunjee ,   dawki ,   guwahati",6,7,25000.0
Explore the Wonders of Meghalaya: 5N/6D Package,"shillong ,   cherrapunjee ,   dawki",5,6,28000.0
Guwahati Shillong Tour Package - Excursion to Cherrapunji,"guwahati ,  shillong ,   guwahati",4,5,20250.0
Splendid Guwahati & Kaziranga Safari Family Package with Shillong,"guwahati  ,   shillong ,  kaziranga national park",4,5,19090.0
Gems of Meghalaya Holiday Package,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",6,7,29000.0
Mystical Meghalaya Tour with Cherrapunji & Dawki,"guwahati  ,   shillong ,  cherrapunji ,   shillong ,   guwahati",4,5,14150.0
Adventurous 3-Night Dawki Package,dawki,3,4,13250.0
Shillong Cherrapunji Trip with Living Root Bridge Trek,"guwahati  ,   shillong ,  cherrapunji",4,5,15200.0
Meghalaya Honeymoon Package for 5 Nights,"guwahati  ,   shillong ,  cherrapunji",5,6,21500.0
Mesmerizing Meghalaya Tour Package,"shillong ,   dawki ,   cherrapunjee",4,5,19500.0
Weekend Getaway to Meghalaya Package,"shillong ,   cherrapunjee ,   dawki",3,4,13000.0
7 Days Ultimate Meghalaya Tour Package,"shillong ,   cherrapunjee ,   mawlynnong ,   pobitora wildlife sanctuary",6,7,24000.0
6 Days Meghalaya Tour Package,"shillong ,   cherrapunjee ,   dawki",5,6,22000.0
Shillong Cherrapunji Group Tour Package for 3 Days,"shillong ,   cherrapunjee",3,4,8999.0
"Amazing Budget Dimapur,  Kohima, Mokokchung and More","dimapur  ,    kohima  ,   mokokchung  ,   mon  ,   dibrugarh",6,7,8407.0
"Mesmerizing Dimapur, Kohima, Mokokchung and More","dimapur  ,   kohima  ,   mokokchung  ,   tuensang  ,   mon  ,   dibrugarh",7,8,23453.0
"Magical Kohima, Kaziranga, Guwahati Package","kohima  ,   kaziranga  ,   guwahati",4,5,28948.0
"Gems of Nagaland - Dimapur, Kohima Tour","dimapur  ,   kohima  ,   dimapur",4,5,14188.0
"Grand Nagaland Tour - Dimapur, Kohima, Tuophema and More","dimapur  ,   kohima  ,   tuophema  ,   wokha  ,   mokokchung  ,  tuensang  ,  mon  ,  sonari  ,   sibsagar  ,   dibrugarh",11,12,38562.0
"Winter Special - Amritsar, Dharamshala and More","amritsar ,  dalhousie ,  dharamshala ,  shimla",9,10,25000.0
Gems of Punjab - Amritsar and Chandigarh,"amritsar  ,   chandigarh",4,5,13528.0
"Delightful Amritsar, Shimla, Manali and More","shimla  ,   manali  ,   dharamshala  ,   dalhousie  ,   amritsar",9,10,31740.0
Best of Punjab and Himachal Tour,"amritsar  ,   manali  ,   shimla  ,   chandigarh",6,7,8544.0
"Double Trouble - Amritsar, Dalhousie Tour","dalhousie (3) ,   amritsar",4,5,13711.0
"Alluring Chandigarh, Manali Package","manali  ,   chandigarh",4,5,37799.0
"Magical Amritsar, Shimla, Manali and More","shimla  ,   manali  ,   dharamshala  ,   dalhousie  ,  amritsar",8,9,28116.0
Awe-Inspriing Amritsar Package,amritsar,3,4,9975.0
Impressive Budget Amritsar Tour,amritsar,2,3,2320.0
"Mesmerizing Amritsar, Dharamshala, Manali and More","amritsar  ,   dharamshala  ,   manali  ,   shimla  ,   chandigarh",7,8,24631.0
"Best of North India - Chandigarh, Manali, Shimla and More","delhi ,   manali ,   kullu  ,   shimla ,   chandigarh ,    delhi",7,8,24355.0
"Amazing Budget Chandigarh, Kangra Package","chandigarh ,   kangra ,   chandigarh",4,5,5140.0
"Beautiful Chandigarh, Dharamsala, Amritsar and More","chandigarh ,   kangra ,   dharamsala ,   amritsar  ,   delhi",5,6,17042.0
"Fantastic North India Package - Amritsar, Mcleodganj, Shimla and More","shimla  ,   manali  ,   mcleodganj  ,   dalhousie  ,   amritsar",9,10,31573.0
Splendid Himachal Tour with Amritsar Stay,"shimla ,  manali ,  dalhousie ,  dharamsala ,  amritsar",8,9,18500.0
"Serene of Chandigarh, Shimla, Manali & More","shimla ,  manali ,  dharamshala ,  dalhousie ,  chandigarh",10,11,25000.0
"Colourful Chandigarh, Shimla, Dharamshala & More","shimla ,  dharamshala ,  dalhousie ,  chandigarh",7,8,21000.0
"Remarkable Amritsar, Manali, Dalhousie & More","shimla ,  manali ,  dalhousie ,  amritsar",7,8,22250.0
"Magnificent Amritsar, Dalhousie & Dharamshala","amritsar ,  dalhousie ,  dharamshala",5,6,18999.0
"Budget Tour of Chandigarh, Manali & Dalhousie","dalhousie ,  manali ,  chandigarh",6,7,15500.0
"Alluring Amritsar, Mcleodganj & Dalhousie Package","mcleodganj ,  dalhousie ,  amritsar",5,6,20500.0
"Enthralling Chandigarh, Shimla & Dharamshala","chandigarh ,  shimla ,  dharamsala",6,7,16000.0
"Wonderful Chandigarh, Shimla & Mcleodganj","shimla ,  mcleodganj ,  chandigarh",5,6,15499.0
"Fascinating Chandigarh, Manali & Shimla","chandigarh ,  shimla ,  manali",6,7,12500.0
